time_s,pelvis_flex_deg(Z),pelvis_abd_deg(X),pelvis_rot_deg(Y)
10.820641,-3.650,-1.010,-0.306
10.837443,-3.090,-1.321,0.241
10.854246,-2.484,-1.699,0.799
10.871048,-1.926,-2.109,1.316
10.887850,-1.382,-2.509,1.746
10.904652,-0.780,-2.872,2.193
10.921455,-0.193,-3.245,2.623
10.938257,0.387,-3.614,3.041
10.955059,0.784,-3.886,3.322
10.971861,1.278,-4.110,3.676
10.988664,1.808,-4.276,4.045
11.005466,2.199,-4.323,4.284
11.022268,2.473,-4.274,4.416
11.039070,2.697,-4.078,4.472
11.055873,2.757,-3.737,4.321
11.072675,2.803,-3.241,4.009
11.089477,2.852,-2.577,3.666
11.106279,2.863,-1.734,3.246
11.123081,2.756,-0.849,2.693
11.139884,2.472,0.157,1.896
11.156686,2.128,1.124,1.023
11.173488,1.838,2.079,0.153
11.190290,1.541,2.930,-0.798
11.207093,1.256,3.585,-1.640
11.223895,0.911,4.176,-2.340
11.240697,0.419,4.685,-3.028
11.257499,-0.196,5.072,-3.704
11.274302,-0.869,5.375,-4.307
11.291104,-1.668,5.585,-4.856
11.307906,-2.521,5.740,-5.340
11.324708,-3.357,5.843,-5.723
11.341511,-4.073,5.891,-5.870
11.358313,-4.637,5.933,-5.911
11.375115,-4.969,5.891,-5.714
11.391917,-5.228,5.806,-5.523
11.408720,-5.451,5.592,-5.274
11.425522,-5.625,5.243,-5.002
11.442324,-5.832,4.857,-4.693
11.459126,-5.910,4.461,-4.245
11.475928,-5.879,4.155,-3.715
11.492731,-5.851,3.812,-3.233
11.509533,-5.855,3.442,-2.760
11.526335,-5.969,3.062,-2.477
11.543137,-5.964,2.593,-2.106
11.559940,-5.792,2.124,-1.688
11.576742,-5.489,1.724,-1.227
11.593544,-4.838,1.298,-0.600
11.610346,-4.060,0.816,0.044
11.627149,-3.294,0.201,0.637
11.643951,-2.557,-0.412,1.211
11.660753,-1.795,-1.093,1.744
11.677555,-1.065,-1.791,2.238
11.694358,-0.359,-2.426,2.705
11.711160,0.327,-2.964,3.148
11.727962,0.993,-3.378,3.588
11.744764,1.579,-3.692,3.962
11.761567,2.014,-3.850,4.188
11.778369,2.223,-3.808,4.190
11.795171,2.330,-3.571,4.069
11.811973,2.358,-3.039,3.893
11.828775,2.325,-2.348,3.579
11.845578,2.387,-1.558,3.273
11.862380,2.358,-1.201,3.103
11.879182,2.241,-0.790,2.844
11.895984,1.998,-0.241,2.462
11.912787,1.666,0.406,1.992
